Title,Description,Status,Priority,Estimate,Labels,Milestone,Parent,
Processed artifacts layout,Store processed text + sentence JSONL in data/interim (gitignored).,Backlog,Medium,1,process;repro,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] Document Processing & Classification,
,,,,,,,,
[M3 Epic] KG Schema & Loaders,"Implement Postgres KG schema, migrations, and idempotent loaders with provenance fields.",Backlog,High,5,epic;db;kg,Milestone 3 — Processing & Knowledge Graph,,
Design KG tables + relationships,"DDL for documents, products, capabilities, risk_topics, events, mentions (with evidence).",Backlog,High,3,db;kg,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] KG Schema & Loaders,
Set up migrations,Use Alembic (or equivalent) for schema versioning; add init migration.,Backlog,High,2,db;repro,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] KG Schema & Loaders,
Idempotent upsert loaders,Implement upserts for documents/entities/edges keyed by stable IDs + hashes.,Backlog,High,3,db;kg,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] KG Schema & Loaders,
Provenance & evidence fields everywhere,"Ensure source_url, extracted_at, extractor_version, evidence_text, sentence_id exist on edges.",Backlog,High,2,db;kg,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] KG Schema & Loaders,
Deduplication strategy,Handle duplicates via content_hash and canonical URL mapping.,Backlog,Medium,2,db;kg,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] KG Schema & Loaders,
,,,,,,,,
[M4 Epic] Signal Engineering,"Compute quarterly signals: AI intensity, product/capability trends, risk density, events.",Backlog,High,5,epic;measures,Milestone 4 — Measures & Signals,,
AI-language detection (ruleset v1),Keyword/phrase ruleset with sentence-level flags and doc-level counts.,Backlog,High,2,measures;nlp,Milestone 4 — Measures & Signals,[M4 Epic] Signal Engineering,
Risk-language detection (ruleset v1),Risk lexicon + filing section heuristics; sentence-level flags and doc-level counts.,Backlog,High,2,measures;nlp,Milestone 4 — Measures & Signals,[M4 Epic] Signal Engineering,
Product/capability mention extraction v1,Dictionary-based entity matching with normalization; store mention edges w/ evidence.,Backlog,High,3,measures;kg,Milestone 4 — Measures & Signals,[M4 Epic] Signal Engineering,
Quarterly aggregation tables,Create quarterly rollups for each signal + coverage metrics.,Backlog,High,3,measures;db,Milestone 4 — Measures & Signals,[M4 Epic] Signal Engineering,
Media proxy signal,"Define one media-derived proxy (e.g., AI mention share in media vs total).",Backlog,Medium,2,measures,Milestone 4 — Measures & Signals,[M4 Epic] Signal Engineering,
,,,,,,,,
[M4 Epic] Validation & Coverage Analysis,"Create thin gold set, compute precision, and document coverage/limitations.",Backlog,High,5,epic;validation,Milestone 4 — Measures & Signals,,
Sample docs + sentences for audit,Select ~50 docs; sample ~500 sentences across AI/risk/product candidates.,Backlog,High,2,validation,Milestone 4 — Measures & Signals,[M4 Epic] Validation & Coverage Analysis,
Label audit set CSV template,Create CSV schema for manual labeling; provide instructions in docs/validation.md.,Backlog,Medium,1,validation,Milestone 4 — Measures & Signals,[M4 Epic] Validation & Coverage Analysis,
Compute precision metrics,Calculate precision for AI/risk/product detection; output markdown report.,Backlog,High,2,validation;measures,Milestone 4 — Measures & Signals,[M4 Epic] Validation & Coverage Analysis,
Coverage report,Compute coverage by year/source type; identify gaps vs MVP targets.,Backlog,Medium,2,validation,Milestone 4 — Measures & Signals,[M4 Epic] Validation & Coverage Analysis,
,,,,,,,,
[M5 Epic] Feature Engineering,Create time-safe feature tables using lagging and as-of joins.,Backlog,High,5,epic;features;modeling,Milestone 5 — Modeling (leakage-safe),,
Define target + label generation,Define next-quarter up/down return label and how it’s computed.,Backlog,High,2,modeling,Milestone 5 — Modeling (leakage-safe),[M5 Epic] Feature Engineering,
Lagged feature builder,Build features from t-4..t-1 quarters only; enforce as-of timestamps.,Backlog,High,3,features;modeling,Milestone 5 — Modeling (leakage-safe),[M5 Epic] Feature Engineering,
Train/val/test split generator,"Implement chronological splits: train 2015–2019, val 2020–2021, test 2022–present.",Backlog,High,2,modeling,Milestone 5 — Modeling (leakage-safe),[M5 Epic] Feature Engineering,
Leakage checks,Add assertions: no feature uses docs after label cutoff; unit tests for time joins.,Backlog,High,3,modeling;quality,Milestone 5 — Modeling (leakage-safe),[M5 Epic] Feature Engineering,
,,,,,,,,
[M5 Epic] Predictive Modeling & Evaluation,Train interpretable baselines and evaluate with time-series methodology.,Backlog,High,5,epic;modeling,Milestone 5 — Modeling (leakage-safe),,
Baseline model (logistic regression),"Train baseline, persist metrics, confusion matrix, ROC-AUC where applicable.",Backlog,High,3,modeling,Milestone 5 — Modeling (leakage-safe),[M5 Epic] Predictive Modeling & Evaluation,
Second baseline (tree model optional),Train random forest or xgboost-lite; compare to baseline.,Backlog,Medium,3,modeling,Milestone 5 — Modeling (leakage-safe),[M5 Epic] Predictive Modeling & Evaluation,
Feature importance report,Coefficients / permutation importance; save report to docs/model_results.md.,Backlog,High,2,modeling,Milestone 5 — Modeling (leakage-safe),[M5 Epic] Predictive Modeling & Evaluation,
Model reproducibility artifact,Save model + config + feature schema; ensure reruns are deterministic.,Backlog,Medium,2,modeling;repro,Milestone 5 — Modeling (leakage-safe),[M5 Epic] Predictive Modeling & Evaluation,
,,,,,,,,
[M6 Epic] Notebook Demo,"Create a single notebook that demonstrates KG coverage, signals, queries, and model results.",Backlog,High,5,epic;notebook;demo,Milestone 6 — Demo, Documentation & Finalization,
Notebook scaffold (01_demo.ipynb),"Create notebook with sections: overview, signals, queries, modeling results, interpretation.",Backlog,High,2,notebook,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Notebook Demo
KG overview visuals,"Entity counts, docs over time, coverage by source type.",Backlog,Medium,2,notebook,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Notebook Demo
Signal plots,"Plot quarterly AI intensity, risk density, product/capability mentions.",Backlog,High,2,notebook,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Notebook Demo
Example KG queries,3–5 example SQL queries answering acceptance questions.,Backlog,High,2,notebook;kg,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Notebook Demo
Model results section,Show metrics and feature importance; short narrative interpretation.,Backlog,High,2,notebook;modeling,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Notebook Demo
,,,,,,,,
[M6 Epic] Documentation & Finalization,"Finalize reproducibility, compliance, and project narrative for submission.",Backlog,High,5,epic;docs,Milestone 6 — Demo, Documentation & Finalization,
README final pass,Ensure README matches implemented commands + repo structure.,Backlog,High,1,docs,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Documentation & Finalization
Architecture/pipeline doc,Write docs/architecture.md with pipeline diagram (optional) and data flow explanation.,Backlog,Medium,2,docs,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Documentation & Finalization
Risk register final pass,Confirm mitigations implemented; add any newly discovered risks.,Backlog,Medium,1,docs;compliance,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Documentation & Finalization
Limitations & ethics section,"Document data drift, extraction uncertainty, and interpretation limits.",Backlog,Medium,2,docs,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Documentation & Finalization
Release checklist,"Add submission checklist: commands run, notebook runs, screenshots/plots, final artifacts.",Backlog,Medium,1,docs,Milestone 6 — Demo, Documentation & Finalization,[M6 Epic] Documentation & Finalization
